cost_wan,carbon_t,latency_ms,nu_neg
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183757.47318781682,2015074.8436807669,27.585332406692352,0.6714513986796014
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183838.3558836207,2015594.9752811545,27.22357986140146,0.6714892178077358
183838.3558836207,2015594.9752811545,27.22357986140146,0.6714892178077358
183796.2474157287,2015279.0065652318,27.393119987150484,0.6714709496864841
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183838.3558836207,2015594.9752811545,27.22357986140146,0.6714892178077358
183934.98891582974,2016260.6068033362,26.813364004091536,0.6715195096245066
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183838.3558836207,2015594.9752811545,27.22357986140146,0.6714892178077358
183796.2474157287,2015279.0065652318,27.393119987150484,0.6714709496864841
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183838.3558836207,2015594.9752811545,27.22357986140146,0.6714892178077358
183934.98891582974,2016260.6068033362,26.813364004091536,0.6715195096245066
183934.98891582974,2016260.6068033362,26.813364004091536,0.6715195096245066
183796.2474157287,2015279.0065652318,27.393119987150484,0.6714709496864841
183796.2474157287,2015279.0065652318,27.393119987150484,0.6714709496864841
183838.3558836207,2015594.9752811545,27.22357986140146,0.6714892178077358
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183838.3558836207,2015594.9752811545,27.22357986140146,0.6714892178077358
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183796.2474157287,2015279.0065652318,27.393119987150484,0.6714709496864841
183796.2474157287,2015279.0065652318,27.393119987150484,0.6714709496864841
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183838.3558836207,2015594.9752811545,27.22357986140146,0.6714892178077358
183838.3558836207,2015594.9752811545,27.22357986140146,0.6714892178077358
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183796.2474157287,2015279.0065652318,27.393119987150484,0.6714709496864841
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
183706.10929571567,2014723.0012202696,27.795350103819555,0.671424025545386
