seed,cost_wan,carbon_t,latency_ms,nu_pct,policy
0,183706.10929571567,2014723.0012202696,27.795350103819555,32.857597445461394,"[0.0, 0.0, 0.0, 0.0, 0.0]"
0,184354.57516736473,2019662.1963622724,25.336920961711577,32.8243834755846,"[14.947290038214755, 0.0, 9.026918173807115, 14.57658831722223, 0.008866839799008626]"
0,184354.57516736473,2019662.1963622724,25.336920961711577,32.8243834755846,"[14.900699177048894, 0.0, 8.995506545078909, 14.372500103512174, 0.008866839799008626]"
0,183706.10929571567,2014723.0012202696,27.795350103819555,32.857597445461394,"[0.0, 5.080788064674793e-05, 0.0, 0.0, 0.0]"
0,184338.38220847727,2019443.0719918231,25.37248822685319,32.82718755071057,"[15.0, 0.08015805682696686, 5.952234577678597, 15.221731347599832, 0.006010564830707921]"
0,183992.96663084254,2016668.1323767009,26.564067903582398,32.84564913103394,"[10.28095356554855, 0.03204888664267129, 12.701293398508136, 10.015391959577485, 0.0]"
0,184126.77464474787,2017651.7654913734,25.99314240594814,32.840465012608156,"[12.697323290104782, 9.04215218316554e-06, 5.005509900557363, 15.818036673716065, 0.0]"
0,184211.1652029449,2018263.6977937543,25.716013166980517,32.8363528248933,"[13.402631957302392, 0.15677278129000297, 14.22559385503079, 14.856267662668028, 0.001749561033774647]"
0,184294.0811782405,2018771.148360448,25.396928105545637,32.83287189542683,"[14.245310996498302, 0.0, 14.507550095895624, 13.433688553283165, 0.0]"
0,184250.50110125708,2018886.4790032944,25.686776964854033,32.83035382810986,"[13.77172596189859, 0.0314574198958052, 11.046173294420068, 12.624725320636955, 0.007302231656491287]"
0,183932.91070088051,2016601.299980319,26.96862074060313,32.84260274191778,"[8.52687295122076, 0.0, 11.774983257805106, 12.43749870076902, 0.005420940590724219]"
0,184064.12610747776,2017241.883803845,26.27173187426051,32.842269257937,"[11.728621813931657, 0.0, 11.637431397458657, 7.717928732092352, 1.5141093185606797e-06]"
0,184127.25186901618,2017620.134038999,26.01172961943457,32.84022545166978,"[12.977205518148697, 0.010904601061694542, 12.100514748006857, 10.485626747510764, 0.0012006381847459707]"
0,183796.2474157287,2015279.0065652318,27.393119987150484,32.85290503135159,"[6.372737278203909, 0.0008301261941734963, 11.923696122643374, 20.34521051548363, 0.0]"
0,184204.97757791224,2018187.4759726468,25.73948147813318,32.8376874283127,"[13.954403431795127, 0.03992933524479279, 6.957161370789727, 12.873016650996293, 0.0004107923702950845]"
0,184200.5435036736,2018107.2834536314,25.733058782730787,32.83739449838734,"[13.824920135264293, 0.03159670319854168, 10.993348817758882, 12.686906027920578, 0.0]"
