seed,cost_wan,carbon_t,latency_ms,one_minus_qos,one_minus_nu,peak_net_MW,policy
0,163871.17480397524,1903961.3730510792,27.795350103819555,0.1698790166666666,0.645036292677706,478.52640035208117,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
0,163879.3531520938,1904311.5821379481,27.789875443787942,0.16991261666666668,0.6450279098588461,478.52640035208117,"[0.3960056942571294, 0.0, 0.6386001251811855, 0.0009608393907606707, 0.0034401644349595327, 0.5]"
0,163866.5289700037,1903952.986779652,27.816185172231265,0.16990494999999994,0.64502959334771,478.52640035208117,"[0.0, 0.0, 0.16495999851951026, 2.1715976585242087, 0.0, 0.5]"
0,163869.7837964828,1903936.2466107411,27.817120168476652,0.16990488333333342,0.6450434130089759,478.52640035208117,"[0.6162886472542216, 0.0, 0.03643317640858498, 0.002798948647523051, 0.0010341105522186423, 0.5]"
0,164036.7283110888,1905720.6349732887,27.207436969397346,0.15203107500000002,0.6451066027422497,479.0016003520375,"[7.350186384551473, 0.0, 19.006121611633368, 2.316902837055715, 0.008270001996718315, 0.5]"
0,164038.65775644188,1905747.1754527965,27.195201300444285,0.15203547500000003,0.6451110618061932,479.0016003520375,"[7.350186384551473, 0.0, 18.983834511284496, 0.0, 0.008270001996718315, 0.5]"
0,163988.12499301537,1906009.9646121338,27.508328553786814,0.16091247499999994,0.6450702859659285,479.0016003520375,"[5.577910921197921, 0.13378910499130425, 20.334087748581375, 0.006192944869639699, 0.017745001370957945, 0.5]"
0,163979.3587558201,1904714.4599627184,27.479868531491306,0.156764825,0.6451129161243041,479.0016003520375,"[6.313542131996872, 0.14302672178642642, 19.74965654453311, 3.3399623829012963, 0.0027216356676767355, 0.5]"
0,164038.65775644188,1905747.1754527965,27.195201300444285,0.15203547500000003,0.6451110618061932,479.0016003520375,"[7.350186384551473, 0.0, 18.983834511284496, 0.0, 0.008270001996718315, 0.5]"
0,163867.50750246513,1903984.4705056811,27.80173232083728,0.16993048333333327,0.6450364187633075,478.52640035208117,"[0.465333422553351, 0.0, 0.6311635222696982, 1.1723195013528827, 0.0011390109636480277, 0.5]"
0,163869.7837964828,1903936.2466107411,27.817120168476652,0.16990488333333342,0.6450434130089759,478.52640035208117,"[0.6286208411775651, 0.0, 0.03643317640858498, 0.01354588235794527, 0.0010341105522186423, 0.5]"
0,163923.75828311592,1905041.8677921868,27.640353217026924,0.16520599999999996,0.6450518666875088,479.0016003520375,"[4.204166831401355, 0.13506496649568575, 19.92452167614012, 0.11540559402659327, 0.010409810295560162, 0.5]"
0,163869.64003759553,1903978.1201274581,27.808719038081414,0.16991595000000004,0.6450417396096098,478.52640035208117,"[0.5413927469287092, 0.0, 0.03643317640858498, 0.002798948647523051, 0.0010896571446372663, 0.5]"
0,163992.83529305816,1905393.8614534715,27.351406862375505,0.1565969583333333,0.645091660940752,479.0016003520375,"[6.694507579987718, 0.14290488531621476, 19.42918339469015, 0.11223433563959073, 0.009497657337726426, 0.5]"
0,163894.83183204025,1904533.0421226108,27.746965073026285,0.1698442166666666,0.6450644602719129,478.52640035208117,"[0.0, 0.0, 0.4938756979865287, 0.0, 0.006555077306761589, 0.5]"
0,164037.46847963944,1905709.4767686715,27.242258474907842,0.15207014166666655,0.6451010111248394,479.0016003520375,"[7.453701929653772, 0.0, 19.039840313094764, 2.212682159056118, 0.007414311130967448, 0.5]"
0,163933.4232112275,1905319.2181183142,27.638790331126028,0.1652693999999999,0.6450484411043625,479.0016003520375,"[4.539589126357541, 0.0, 19.877852720657536, 0.0, 0.013950821531624006, 0.5]"
0,164000.09922339136,1905668.9870226171,27.381792754859767,0.15663455833333328,0.6450828185345949,479.0016003520375,"[6.7839513953292805, 0.15967521686320102, 17.424811752347225, 0.11284447988053532, 0.011794539059094642, 0.5]"
0,164032.6030662341,1905637.9623579257,27.228284891040595,0.15208280833333343,0.6450942584907948,479.0016003520375,"[7.498465758440966, 0.0, 20.472447339173524, 2.233519962088001, 0.006243201753093965, 0.5]"
0,163937.28870380044,1904628.1585679755,27.575088294845855,0.1609553416666667,0.6450628241286338,479.0016003520375,"[5.844246780705981, 0.14302672178642642, 20.760736343048066, 1.1671851125263295, 0.0027950253255666817, 0.5]"
0,164032.6030662341,1905637.9623579257,27.228284891040595,0.15208280833333343,0.6450942584907948,479.0016003520375,"[8.0, 0.0, 20.472447339173524, 2.1909437825327256, 0.006601147841049422, 0.5]"
0,163962.56895544834,1905400.6939648069,27.55681016971049,0.16089174166666664,0.6450607087146276,479.0016003520375,"[5.579175846832945, 0.1434063249631012, 19.744053740011683, 1.0580952870431755, 0.012026952344121615, 0.5]"
0,163940.81561280013,1905332.082305799,27.602046530563758,0.1651672666666667,0.6450620289666185,479.0016003520375,"[4.7207721539739165, 0.0, 20.332266054575722, 2.5996557667270803, 0.012331531394588044, 0.5]"
0,163894.83183204025,1904533.0421226108,27.746965073026285,0.1698442166666666,0.6450644602719129,478.52640035208117,"[0.15390079270554347, 0.0, 0.23886025606205902, 0.0, 0.006525071061527841, 0.5]"
0,163871.22022710208,1904064.8871392536,27.7714675913053,0.16989281666666667,0.645031040382934,478.52640035208117,"[0.025537383141215276, 5.251663869548304e-06, 0.9983798415538419, 0.00024999947945366453, 0.0020684192337639164, 0.5]"
0,163932.52536086476,1905436.1563495065,27.634353566221872,0.16525253333333334,0.6450380361431051,479.0016003520375,"[4.252768140599443, 0.14752734335927706, 19.892628423260295, 3.9684155385673012, 0.013962314941599658, 0.5]"
0,163989.62638760332,1905272.4618271526,27.41674690226746,0.1566986916666666,0.6450946783473194,479.0016003520375,"[6.445237331782508, 0.1212729841100054, 20.67038838635154, 1.4224072534256045, 0.006737664547401014, 0.5]"
0,163923.75828311592,1905041.8677921868,27.640353217026924,0.16520599999999996,0.6450518666875088,479.0016003520375,"[4.363861683007498, 0.14763139403632988, 19.92452167614012, 0.11540559402659327, 0.010465356887978785, 0.5]"
0,163933.12221010868,1905249.1662347985,27.675599798688914,0.16523806666666663,0.6450497933442618,479.0016003520375,"[4.169513615526298, 0.14748649552574744, 20.002326283783393, 4.304911710919834, 0.013337762341349898, 0.5]"
0,163885.41341723554,1904467.2298648758,27.763685158778856,0.16988595000000006,0.645044322381835,478.52640035208117,"[0.0, 1.7832010165912706e-05, 0.0, 0.0, 0.007209469389038182, 0.5]"
0,163980.99501728074,1905826.416935768,27.53818185376721,0.16091354166666672,0.6450727810638028,479.0016003520375,"[5.57395412855944, 0.14388223928410718, 17.42179974643526, 4.510249394418849, 0.014623222842421573, 0.5]"
0,163988.12499301537,1906009.9646121338,27.508328553786814,0.16091247499999994,0.6450702859659285,479.0016003520375,"[5.577910921197921, 0.13378910499130425, 20.424228698880157, 0.004134687238483682, 0.017745001370957945, 0.5]"
0,163927.0724159711,1904937.3196008187,27.65516300783929,0.16519666666666666,0.6450601721983582,479.0016003520375,"[4.363861683007498, 0.14763139403632988, 19.908619232605705, 0.11541997756208862, 0.009528490249982693, 0.5]"
0,163953.64865352833,1904996.4567407572,27.57760957306029,0.1609283416666667,0.6450759037226476,479.0016003520375,"[5.992312229718562, 0.0, 20.21695314014477, 0.861471922475579, 0.007467881715692856, 0.5]"
0,163952.96681473308,1904950.957045522,27.595200773966365,0.16093620833333333,0.6450797005723385,479.0016003520375,"[5.992312229718562, 0.11859944388184035, 20.878218772291543, 0.861471922475579, 0.007130653053171212, 0.5]"
0,163884.4529937743,1904582.7052194376,27.704288855479113,0.16985288333333326,0.6450352636303547,478.52640035208117,"[0.6168453569919992, 0.0, 0.0, 0.0, 0.008109343508022442, 0.5]"
0,163952.95282942936,1905083.804387743,27.56674390190761,0.16091947500000003,0.6450690529437819,479.0016003520375,"[5.9372007815153465, 0.14506900167948233, 20.64677329155344, 0.14829389320671016, 0.0079180211859328, 0.5]"
0,163940.81561280013,1905332.082305799,27.602046530563758,0.1651672666666667,0.6450620289666185,479.0016003520375,"[4.065250914135393, 0.0, 20.325142053382237, 2.5996557667270803, 0.012199236435000187, 0.5]"
0,163957.19036333967,1905365.4566274572,27.56424814758194,0.16090374166666654,0.6450573088841265,479.0016003520375,"[5.190600733696484, 0.14267021783353825, 19.712700833105277, 1.1530074635667673, 0.01168004610520358, 0.5]"
0,164000.09922339136,1905668.9870226171,27.381792754859767,0.15663455833333328,0.6450828185345949,479.0016003520375,"[6.535849429939391, 0.14662588887904102, 17.8142918937955, 0.0, 0.011551461708067085, 0.5]"
1,163871.17480397524,1903961.3730510792,27.795350103819555,0.1698790166666666,0.645036292677706,478.52640035208117,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
1,163867.55196776974,1903947.0516238783,27.813470391802706,0.16990094999999994,0.6450330001773663,478.52640035208117,"[1.4629643781778032, 0.05557083120812593, 0.0, 4.477491824510904, 0.0, 0.5]"
1,163864.20871940974,1904018.0291826616,27.76490953862777,0.1698766833333334,0.6450199943071375,478.52640035208117,"[0.484990428107258, 0.024635465454229316, 3.3849788599135175, 1.924503092230001, 0.002184352430981498, 0.5]"
1,164098.4407544972,1907049.9530290484,27.219323655852474,0.15209747499999993,0.6451395304792531,479.0016003520375,"[7.518150137530322, 0.11540724150836089, 19.521390283256327, 5.276040861671671, 0.0222540537976278, 0.5]"
1,164069.04887744115,1906479.9421388013,27.227911284247323,0.1520742083333333,0.6451153415088557,479.0016003520375,"[7.5968352226876865, 0.11540724150836089, 19.549121363237354, 5.276040861671671, 0.016500013618747818, 0.5]"
1,163866.5289700037,1903952.986779652,27.816185172231265,0.16990494999999994,0.64502959334771,478.52640035208117,"[3.3895300615060826, 0.0, 0.0, 2.9873453329102295, 0.0, 0.5]"
1,163867.50750246513,1903984.4705056811,27.80173232083728,0.16993048333333327,0.6450364187633075,478.52640035208117,"[0.484990428107258, 0.024016783674049462, 3.3849788599135175, 1.924503092230001, 0.001449300671173511, 0.5]"
1,164098.4407544972,1907049.9530290484,27.219323655852474,0.15209747499999993,0.6451395304792531,479.0016003520375,"[7.518150137530322, 0.11540724150836089, 19.521390283256327, 7.467256459799411, 0.0222540537976278, 0.5]"
1,164030.32217215243,1906267.0145526465,27.36031151280513,0.15661562499999993,0.6451060886191119,479.0016003520375,"[6.52881249446742, 0.10886412383285382, 13.762237654967343, 4.5725984249557445, 0.016759141073326794, 0.5]"
1,163884.4529937743,1904582.7052194376,27.704288855479113,0.16985288333333326,0.6450352636303547,478.52640035208117,"[0.1547387382711344, 0.018389509456554504, 3.5351317219839196, 0.0, 0.00808175773307346, 0.5]"
1,164006.6861429664,1905921.2596877997,27.41155831958457,0.15669129166666673,0.6450805922760134,479.0016003520375,"[6.70673543115928, 0.0, 20.432436506513685, 5.276040861671671, 0.015205626683146884, 0.5]"
1,163998.40743416426,1906237.5973194202,27.484438655311777,0.16088380833333338,0.645082690897733,479.0016003520375,"[5.855306519825398, 0.12143553550996182, 20.46647646639573, 2.637851313835759, 0.02037117783812345, 0.5]"
1,163940.39380386728,1905331.0878914448,27.613317563161807,0.16518566666666668,0.6450612844788827,479.0016003520375,"[4.517485153889653, 0.11943017825463391, 18.752657782035097, 4.951418564897993, 0.012655271505884918, 0.5]"
1,164070.2106532282,1906390.5226045186,27.257027335879062,0.15211027499999996,0.6451359835759956,479.0016003520375,"[7.479528894015488, 0.0, 20.432436506513685, 5.897783920982115, 0.015205626683146884, 0.5]"
1,163893.36198368575,1904485.94936336,27.7460345216355,0.16983815000000002,0.6450618497096421,478.52640035208117,"[0.006492778572567639, 0.029994425689912736, 0.0, 0.5017973733862409, 0.006190840754445744, 0.5]"
1,163988.12499301537,1906009.9646121338,27.508328553786814,0.16091247499999994,0.6450702859659285,479.0016003520375,"[5.273075045426303, 0.0, 20.03891512766667, 0.585091034302756, 0.01776555326292914, 0.5]"
1,163932.52536086476,1905436.1563495065,27.634353566221872,0.16525253333333334,0.6450380361431051,479.0016003520375,"[4.289834692878997, 0.11937593614998879, 18.819845051886922, 4.996882808859671, 0.013932699895464315, 0.5]"
1,163933.12221010868,1905249.1662347985,27.675599798688914,0.16523806666666663,0.6450497933442618,479.0016003520375,"[4.661507917090288, 0.12526618223200883, 18.193615920314517, 4.951418564897993, 0.012909840523544226, 0.5]"
1,163921.8714581434,1905395.344464805,27.7265768303459,0.16984168333333338,0.6450512385934539,478.52640035208117,"[3.945740517496759, 0.11973456718420308, 19.958054189085672, 5.037966706260052, 0.015737557769774008, 0.5]"
1,163968.16344388635,1905671.2906489514,27.54315705687275,0.16089234166666655,0.645057432950843,479.0016003520375,"[5.019133034534801, 0.12187474173823999, 18.819845051886922, 4.993426048938643, 0.01379950431178407, 0.5]"
1,164070.2106532282,1906390.5226045186,27.257027335879062,0.15211027499999996,0.6451359835759956,479.0016003520375,"[7.627653704564526, 0.00022550038331288198, 17.925585262823887, 5.292088634865584, 0.014908785710082636, 0.5]"
1,164023.36853118514,1906201.1234150676,27.36107751494811,0.156621625,0.6450930318613424,479.0016003520375,"[6.4579730252754075, 0.10927048000329422, 16.034630634864993, 4.540964036899773, 0.0177182761905019, 0.5]"
1,163883.2974010093,1904604.6302078825,27.697158107020275,0.16985381666666666,0.6450321093365776,478.52640035208117,"[0.02045360343368291, 0.01906370501570192, 2.7529806135810904, 0.20371687369101552, 0.008330442491620745, 0.5]"
1,163960.57105505915,1906005.3739259036,27.654919015529167,0.1652121333333334,0.6450561477289115,479.0016003520375,"[4.417858024025278, 0.1204435494937305, 17.52784594624024, 6.492889722398365, 0.01927052412968537, 0.5]"
1,163865.20903421042,1904020.331708554,27.762249626759186,0.16987154999999998,0.6450228696483923,478.52640035208117,"[1.0901865270622515, 0.018250796341674466, 6.209966113569696, 2.3493987015274245, 0.002240096265940192, 0.5]"
1,164068.61323522258,1906536.1703440784,27.236174693859976,0.1520795416666667,0.6451087327353611,479.0016003520375,"[7.634558688834733, 0.11491125771793541, 19.550055768621704, 3.7914804357460534, 0.016657559219162968, 0.5]"
1,164069.04887744115,1906479.9421388013,27.227911284247323,0.1520742083333333,0.6451153415088557,479.0016003520375,"[7.681302235548134, 0.11535025909806736, 19.689522332826854, 5.275519277797326, 0.0162281135700941, 0.5]"
1,164068.7453073242,1906306.7376395182,27.26487682960996,0.15210147500000004,0.645137572353992,479.0016003520375,"[8.0, 0.001162518290945029, 19.92362565868818, 5.2411222084375275, 0.0144137779640879, 0.5]"
1,163879.34207988277,1904402.3499464232,27.760935659355287,0.1698978166666667,0.6450404993482386,478.52640035208117,"[0.0, 2.1567509498891372e-05, 1.858379268663785, 0.41387460998308345, 0.007891585759917039, 0.5]"
1,164008.45723754348,1906734.9384162768,27.52307863284066,0.16090467500000005,0.6450630391017427,479.0016003520375,"[5.147748774681537, 0.12389987897426032, 19.571480166535753, 5.496624524702259, 0.026014514067961344, 0.5]"
1,163893.36198368575,1904485.94936336,27.7460345216355,0.16983815000000002,0.6450618497096421,478.52640035208117,"[0.006492778572567639, 0.029994425689912736, 0.0, 0.48430537811598956, 0.006176916493975237, 0.5]"
1,163987.46293673723,1905952.8879893625,27.517070108924063,0.1609040083333333,0.6450739023970853,479.0016003520375,"[5.416239907770894, 0.12108704765344187, 19.587325158674204, 0.0, 0.017557522419497543, 0.5]"
1,164023.36853118514,1906201.1234150676,27.36107751494811,0.156621625,0.6450930318613424,479.0016003520375,"[6.402966178491826, 0.10885038401557753, 16.034630634864993, 4.540964036899773, 0.01774417424285133, 0.5]"
1,164068.61323522258,1906536.1703440784,27.236174693859976,0.1520795416666667,0.6451087327353611,479.0016003520375,"[7.814092873295339, 0.11512700701785461, 19.550093029210153, 3.8600990737853804, 0.016657559219162968, 0.5]"
1,163879.34207988277,1904402.3499464232,27.760935659355287,0.1698978166666667,0.6450404993482386,478.52640035208117,"[0.0, 0.06580161365733107, 1.858379268663785, 0.41387460998308345, 0.007891585759917039, 0.5]"
1,164020.9483025458,1906874.4354099014,27.487107267676205,0.16088894166666667,0.6450763304726965,479.0016003520375,"[5.010065072592069, 0.1272368899457658, 19.589309788351123, 3.351953248984186, 0.02682534715320057, 0.5]"
1,163945.21675141982,1905599.5236070147,27.639355428496447,0.16523793333333336,0.6450511784903834,479.0016003520375,"[4.705161637386168, 0.11983020564853204, 21.557292250560337, 4.79805390332408, 0.015972447893495816, 0.5]"
1,163932.52536086476,1905436.1563495065,27.634353566221872,0.16525253333333334,0.6450380361431051,479.0016003520375,"[4.344841539662578, 0.11979603213770547, 18.819845051886922, 4.996882808859671, 0.013906801843114883, 0.5]"
1,163933.12221010868,1905249.1662347985,27.675599798688914,0.16523806666666663,0.6450497933442618,479.0016003520375,"[4.770669488911395, 0.12526618223200883, 18.295689485099416, 9.211442949628374, 0.013092403210410442, 0.5]"
1,163999.1812927621,1906276.6859521326,27.495009757750477,0.16088800833333328,0.6450762038390209,479.0016003520375,"[5.1621430621075834, 0.12143439867227701, 20.00071258000742, 2.620497468284169, 0.02071893419258092, 0.5]"
2,163871.17480397524,1903961.3730510792,27.795350103819555,0.1698790166666666,0.645036292677706,478.52640035208117,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5]"
2,163869.7837964828,1903936.2466107411,27.817120168476652,0.16990488333333342,0.6450434130089759,478.52640035208117,"[0.05451338396234998, 0.0, 0.6910728003480708, 0.0, 0.001009073330250595, 0.5]"
2,163864.20871940974,1904018.0291826616,27.76490953862777,0.1698766833333334,0.6450199943071375,478.52640035208117,"[1.2736707972924357, 0.0017172302969747015, 0.0, 1.7181399137218878, 0.002461234298544914, 0.5]"
2,163883.2974010093,1904604.6302078825,27.697158107020275,0.16985381666666666,0.6450321093365776,478.52640035208117,"[2.549594872479744, 0.11921390256175797, 0.30491884800434066, 0.0, 0.008555083292055754, 0.5]"
2,163883.2974010093,1904604.6302078825,27.697158107020275,0.16985381666666666,0.6450321093365776,478.52640035208117,"[2.549594872479744, 0.10086030291254075, 1.1338443368456796, 0.0, 0.008523562756169086, 0.5]"
2,163867.50750246513,1903984.4705056811,27.80173232083728,0.16993048333333327,0.6450364187633075,478.52640035208117,"[0.9722081470752576, 0.0035393405970933255, 1.2976893391386461, 1.2249371077581972, 0.0014614677415274952, 0.5]"
2,163869.7837964828,1903936.2466107411,27.817120168476652,0.16990488333333342,0.6450434130089759,478.52640035208117,"[0.0432990845485839, 0.006090379978426519, 0.6995267942947477, 0.006000083147878403, 0.0010173447367797372, 0.5]"
2,163893.7855559299,1904499.4063544425,27.757842339307526,0.16987148333333324,0.6450635000816397,478.52640035208117,"[0.4613838901863212, 0.0994569236271576, 9.794026716802975, 13.354107505777256, 0.0060545060466256, 0.5]"
2,163893.7855559299,1904499.4063544425,27.757842339307526,0.16987148333333324,0.6450635000816397,478.52640035208117,"[0.7718761808270672, 0.08915508364017126, 9.490843391294655, 13.445809433542962, 0.006034141911139554, 0.5]"
2,163879.34207988277,1904402.3499464232,27.760935659355287,0.1698978166666667,0.6450404993482386,478.52640035208117,"[2.5403829833379348, 0.11859271585465876, 0.30491884800434066, 0.18119523856834727, 0.007710380260721909, 0.5]"
2,163865.20903421042,1904020.331708554,27.762249626759186,0.16987154999999998,0.6450228696483923,478.52640035208117,"[1.92838765944209, 0.0840576416831554, 11.862287343907195, 16.710402189784837, 0.0021278323782353667, 0.5]"
2,163871.17480397524,1903961.3730510792,27.795350103819555,0.1698790166666666,0.645036292677706,478.52640035208117,"[0.0, 0.0, 0.0, 0.023672683284542285, 0.0, 0.5]"
2,163864.20871940974,1904018.0291826616,27.76490953862777,0.1698766833333334,0.6450199943071375,478.52640035208117,"[1.2736707972924357, 0.0017172302969747015, 0.02092866406761573, 1.7181399137218878, 0.002461234298544914, 0.5]"
2,163869.64003759553,1903978.1201274581,27.808719038081414,0.16991595000000004,0.6450417396096098,478.52640035208117,"[2.441615067883535, 0.11878659929611383, 0.30491884800434066, 0.0, 0.0011353159415375413, 0.5]"
2,163866.5289700037,1903952.986779652,27.816185172231265,0.16990494999999994,0.64502959334771,478.52640035208117,"[0.03791193712551349, 0.00046774847279297223, 0.0, 2.484284293033145, 0.0, 0.5]"
2,163866.5289700037,1903952.986779652,27.816185172231265,0.16990494999999994,0.64502959334771,478.52640035208117,"[0.0031443214742185605, 0.0, 0.0, 2.3074556625437666, 0.0, 0.5]"
2,163867.55196776974,1903947.0516238783,27.813470391802706,0.16990094999999994,0.6450330001773663,478.52640035208117,"[0.7399034105095633, 0.0, 9.323338627777401, 13.572641558764946, 0.0, 0.5]"
2,163869.86683342734,1903979.8506252877,27.801334577720006,0.16991901666666664,0.6450410102045201,478.52640035208117,"[1.4489441686148212, 0.00022863518698119795, 1.6100580721178306, 1.9505953981980302, 0.0010180880096219895, 0.5]"
2,163867.50750246513,1903984.4705056811,27.80173232083728,0.16993048333333327,0.6450364187633075,478.52640035208117,"[3.126725380017974, 0.0, 2.6338857903301305, 1.6103882876911018, 0.0010832492261047156, 0.5]"
2,163869.64003759553,1903978.1201274581,27.808719038081414,0.16991595000000004,0.6450417396096098,478.52640035208117,"[2.441615067883535, 0.11878659929611383, 0.2839901839367249, 0.0, 0.0011353159415375413, 0.5]"
2,163867.55196776974,1903947.0516238783,27.813470391802706,0.16990094999999994,0.6450330001773663,478.52640035208117,"[0.7399034105095633, 0.0, 9.055004904755098, 14.026718041696219, 0.0, 0.5]"
2,163865.20903421042,1904020.331708554,27.762249626759186,0.16987154999999998,0.6450228696483923,478.52640035208117,"[1.9191757703002805, 0.08343645497605619, 11.862287343907195, 16.891597428353183, 0.0021278323782353667, 0.5]"
2,163869.86683342734,1903979.8506252877,27.801334577720006,0.16991901666666664,0.6450410102045201,478.52640035208117,"[1.5140387580409747, 0.00022863518698119795, 1.8043554659686225, 1.4641090047099279, 0.001011217775089288, 0.5]"
2,163883.2974010093,1904604.6302078825,27.697158107020275,0.16985381666666666,0.6450321093365776,478.52640035208117,"[2.543856251867375, 0.11697245182512052, 0.0, 0.0, 0.0085003590288427, 0.5]"
2,163869.7837964828,1903936.2466107411,27.817120168476652,0.16990488333333342,0.6450434130089759,478.52640035208117,"[0.0, 5.102184859849281e-05, 2.9941353061424136, 0.644094295424231, 0.0010030257322071485, 0.5]"
2,163893.7855559299,1904499.4063544425,27.757842339307526,0.16987148333333324,0.6450635000816397,478.52640035208117,"[0.8075689843385357, 0.0904550338550767, 9.490843391294655, 12.447305159557247, 0.006034141911139554, 0.5]"
2,163871.17480397524,1903961.3730510792,27.795350103819555,0.1698790166666666,0.645036292677706,478.52640035208117,"[0.0, 0.0, 0.0, 0.023672683284542285, 0.0, 0.5]"
2,163864.20871940974,1904018.0291826616,27.76490953862777,0.1698766833333334,0.6450199943071375,478.52640035208117,"[1.2686754159815012, 0.0, 0.0, 1.5991024869173915, 0.0024091675831120884, 0.5]"
