series,layer,family,model,mape_mean,mape_std,rmse_mean,rmse_std,cov_mean,cov_std,width_mean,pinball_mean,n_folds,gate
RegionA|RealTimeInference,task,统计基线,stat_hist,60.79037727772352,2.707591099228068,48.3450002552148,3.189547986407452,0.8954081632653061,0.02080294187538276,102.34000000000003,27.559102040816335,5,通过:统计基线(门)
RegionA|RealTimeInference,task,树类,lgbm_point,65.91756756258484,3.7380510737840766,51.422851652370866,2.622919713189503,,,,,5,拒绝:点模型无分位数（任务侧裁决=覆盖率/pinball）
RegionA|RealTimeInference,task,树类,xgboost_point,64.75973315369257,4.898953074077015,51.31129971927719,3.543743004594661,,,,,5,拒绝:点模型无分位数（任务侧裁决=覆盖率/pinball）
RegionA|RealTimeInference,task,树类,qrf_quantile,61.258371916039906,3.0822900693919664,48.66612471700243,3.0080417033365343,0.8918367346938776,0.020849813001737293,102.64795918367346,27.656122448979595,5,拒绝:cov增益=-0.004(<基线std=0.021) 或宽度失控(103>118) 或pinball恶化(-0.4%<-2%) pinball降幅=-0.4%
RegionA|RealTimeInference,task,树类,lgbm_quantile,94.55386275636732,4.03989973866207,54.15016389485071,3.6683489623163408,0.8413265306122449,0.022702648429884665,79.71319642376925,29.64457436479451,5,拒绝:cov增益=-0.054(<基线std=0.021) 或宽度失控(80>118) 或pinball恶化(-7.6%<-2%) pinball降幅=-7.6%
RegionA|RealTimeInference,task,树类,gbm_quantile,100.0,0.0,55.2515860962259,3.1867849686823475,0.8658163265306122,0.021840668156126546,91.49347434803674,28.321626065723684,5,拒绝:cov增益=-0.030(<基线std=0.021) 或宽度失控(91>118) 或pinball恶化(-2.8%<-2%) pinball降幅=-2.8%
RegionA|RealTimeInference,task,深度,deep_lstm,60.97241498965411,2.500805808031024,48.33606469110269,3.2143225364453563,0.8510204081632653,0.015787498415067172,118.67318119435303,36.429040811723596,5,拒绝:cov增益=-0.044(<基线std=0.021) 或宽度失控(119>118) 或pinball恶化(-32.2%<-2%) pinball降幅=-32.2%
RegionA|RealTimeInference,task,深度,deep_tcn,61.50122423881586,3.8663301537603236,48.375941652783936,3.157072587960443,0.8494897959183675,0.01748891479694144,118.67318119435302,36.42305284814148,5,拒绝:cov增益=-0.046(<基线std=0.021) 或宽度失控(119>118) 或pinball恶化(-32.2%<-2%) pinball降幅=-32.2%
RegionA|RealTimeInference,task,基础模型,tabpfn,61.95266661851527,2.259049526748385,48.56506026831582,3.0832668466922897,0.9112244897959183,0.00872583233494237,113.70374908447266,28.31331640133406,5,拒绝:cov增益=+0.016(<基线std=0.021) 或宽度失控(114>118) 或pinball恶化(-2.7%<-2%) pinball降幅=-2.7%
RegionA|BatchInference,task,统计基线,stat_hist,65.06349217186695,3.5063711339210615,17.14505000679535,1.0361532905263384,0.9066326530612245,0.021840668156126522,43.020000000000024,12.19745918367347,5,通过:统计基线(门)
RegionA|BatchInference,task,树类,lgbm_point,76.50736215214175,4.9167407370258704,18.670939260126378,0.8986487940546228,,,,,5,拒绝:点模型无分位数（任务侧裁决=覆盖率/pinball）
RegionA|BatchInference,task,树类,xgboost_point,77.2118204035708,8.163407560500366,18.723872258826674,1.1683314544921273,,,,,5,拒绝:点模型无分位数（任务侧裁决=覆盖率/pinball）
RegionA|BatchInference,task,树类,qrf_quantile,68.08683891922826,3.222551812367397,17.35057983033489,0.9383184551283146,0.9127551020408162,0.01920903122144557,44.036734693877555,12.274081632653061,5,拒绝:cov增益=+0.006(<基线std=0.022) 或宽度失控(44>49) 或pinball恶化(-0.6%<-2%) pinball降幅=-0.6%
RegionA|BatchInference,task,树类,lgbm_quantile,64.70865119363391,3.1335650155523513,18.12212223269693,1.0551444314329201,0.7816326530612245,0.10203443857619927,38.12412264210479,12.919347053633146,5,拒绝:cov增益=-0.125(<基线std=0.022) 或宽度失控(38>49) 或pinball恶化(-5.9%<-2%) pinball降幅=-5.9%
RegionA|BatchInference,task,树类,gbm_quantile,63.1625175515033,4.009255043597153,17.77106154155193,1.1092947236487665,0.8887755102040815,0.03542154073001994,42.674146326437786,12.523169110729125,5,拒绝:cov增益=-0.018(<基线std=0.022) 或宽度失控(43>49) 或pinball恶化(-2.7%<-2%) pinball降幅=-2.7%
RegionA|BatchInference,task,深度,deep_lstm,64.96727855370423,3.887988935383282,17.124520180537168,1.0413532366469798,0.883673469387755,0.024174199470371704,45.0426974727269,12.65102840384709,5,拒绝:cov增益=-0.023(<基线std=0.022) 或宽度失控(45>49) 或pinball恶化(-3.7%<-2%) pinball降幅=-3.7%
RegionA|BatchInference,task,深度,deep_tcn,64.04817486647805,3.52284527447443,17.12840517444379,1.0500131408390305,0.8811224489795919,0.0235607140592221,45.0426974727269,12.67433032077884,5,拒绝:cov增益=-0.026(<基线std=0.022) 或宽度失控(45>49) 或pinball恶化(-3.9%<-2%) pinball降幅=-3.9%
RegionA|BatchInference,task,基础模型,tabpfn,67.53305296239009,3.9903723094627535,17.298504803868315,0.993856756048918,0.7693877551020407,0.07123698796840375,47.64015426635742,12.451296302447409,5,拒绝:cov增益=-0.137(<基线std=0.022) 或宽度失控(48>49) 或pinball恶化(-2.1%<-2%) pinball降幅=-2.1%
RegionA|AITraining,task,统计基线,stat_hist,81.81928494314505,8.703738202794213,7.0641517172126616,0.3620506994461497,0.826530612244898,0.023029936333249734,18.34000000000001,5.188336734693877,5,通过:统计基线(门)
RegionA|AITraining,task,树类,lgbm_point,85.75263711962138,11.285878055115308,7.6767279020072134,0.4022359817944001,,,,,5,拒绝:点模型无分位数（任务侧裁决=覆盖率/pinball）
RegionA|AITraining,task,树类,xgboost_point,85.11985931958239,12.24442837868013,7.807279578865179,1.065632631702433,,,,,5,拒绝:点模型无分位数（任务侧裁决=覆盖率/pinball）
